sample1,,
Wavelength (nm),Abs,
350,0.07697439939,
349.5,0.07827689499,
349,0.07719187438,
348.5,0.07749940455,
348,0.07780408114,
347.5,0.07873594761,
347,0.07826266438,
346.5,0.07855091244,
346,0.07894952595,
345.5,0.07977375388,
345,0.07970896363,
344.5,0.07898230851,
344,0.08060983568,
343.5,0.08007135242,
343,0.08055860549,
342.5,0.08122286201,
342,0.08085153252,
341.5,0.08128793538,
341,0.08248402178,
340.5,0.08236901462,
340,0.08138801903,
339.5,0.08265887201,
339,0.08173306286,
338.5,0.08412289619,
338,0.08312252164,
337.5,0.08359780163,
337,0.08430082351,
336.5,0.08441983908,
336,0.08468669653,
335.5,0.08518242836,
335,0.0857584849,
334.5,0.08595115691,
334,0.08560678363,
333.5,0.08578018099,
333,0.08696112037,
332.5,0.08741080016,
332,0.08692222089,
331.5,0.08730858564,
331,0.08753779531,
330.5,0.0874055475,
330,0.08797650784,
329.5,0.08900339156,
329,0.08961788565,
328.5,0.08994586766,
328,0.08980903029,
327.5,0.09080471843,
327,0.09117689729,
326.5,0.0916589424,
326,0.09071883559,
325.5,0.09231617302,
325,0.09262374043,
324.5,0.09360963106,
324,0.09290017188,
323.5,0.09383704513,
323,0.09443576634,
322.5,0.09497047216,
322,0.09439783543,
321.5,0.0949447006,
321,0.0956613794,
320.5,0.09598718584,
320,0.09663169086,
319.5,0.09765311331,
319,0.09747809172,
318.5,0.09849511087,
318,0.09852489084,
317.5,0.09901171923,
317,0.09932657331,
316.5,0.09952558577,
316,0.1011009738,
315.5,0.1011376306,
315,0.1012841389,
314.5,0.1018933877,
314,0.102849789,
313.5,0.1030872837,
313,0.1038820148,
312.5,0.1052413061,
312,0.1050119922,
311.5,0.1064519286,
311,0.1058750004,
310.5,0.1065995395,
310,0.1065120026,
309.5,0.1077175811,
309,0.1081601009,
308.5,0.1084869727,
308,0.1084882021,
307.5,0.1098609492,
307,0.1103206053,
306.5,0.1102700531,
306,0.1112404168,
305.5,0.1119832844,
305,0.1129530296,
304.5,0.1121660322,
304,0.1137109399,
303.5,0.1138862073,
303,0.1149648651,
302.5,0.1160562858,
302,0.1164317355,
301.5,0.1165101305,
301,0.1175396815,
300.5,0.1178255826,
300,0.1186378747,
299.5,0.1194130406,
299,0.1200130954,
298.5,0.1213938221,
298,0.1213962138,
297.5,0.1227496192,
297,0.1229291856,
296.5,0.1250490993,
296,0.1263210028,
295.5,0.1275957823,
295,0.1287728995,
294.5,0.1298463494,
294,0.1332380474,
293.5,0.1350850463,
293,0.1378587782,
292.5,0.1414734423,
292,0.1457403153,
291.5,0.1511379331,
291,0.1586471349,
290.5,0.1676228493,
290,0.1777685136,
289.5,0.1901917458,
289,0.204992041,
288.5,0.2203646898,
288,0.235701248,
287.5,0.2498200387,
287,0.2606228292,
286.5,0.2682368159,
286,0.2706156969,
285.5,0.2700083256,
285,0.2670040727,
284.5,0.2627721727,
284,0.2598424554,
283.5,0.2584926784,
283,0.2593850195,
282.5,0.2634153962,
282,0.2700427175,
281.5,0.2781746984,
281,0.2862446904,
280.5,0.293215692,
280,0.2991960347,
279.5,0.3015452325,
279,0.3018963635,
278.5,0.3009103537,
278,0.29913643,
277.5,0.296420753,
277,0.293508321,
276.5,0.2903963029,
276,0.2887316942,
275.5,0.2870052755,
275,0.2848876119,
274.5,0.2831736803,
274,0.2811962068,
273.5,0.2791932523,
273,0.2776028514,
272.5,0.2758550644,
272,0.2750844061,
271.5,0.2740020454,
271,0.2734021544,
270.5,0.2727197707,
270,0.2718704343,
269.5,0.2718853354,
269,0.2694889605,
268.5,0.2691878974,
268,0.2673689425,
267.5,0.2655500472,
267,0.2654221058,
266.5,0.2656950057,
266,0.2653980553,
265.5,0.2650768161,
265,0.2636729777,
264.5,0.2615876794,
264,0.2593390048,
263.5,0.2560266256,
263,0.2537276447,
262.5,0.2533217072,
262,0.2529672682,
261.5,0.2536350191,
261,0.2543329895,
260.5,0.2565555573,
260,0.2584330738,
259.5,0.2593326569,
259,0.2587162554,
258.5,0.2569819987,
258,0.2547999024,
257.5,0.2521867752,
257,0.2496852875,
256.5,0.2479910553,
256,0.2474606335,
255.5,0.2469315231,
255,0.2479960024,
254.5,0.2488873452,
254,0.2507008016,
253.5,0.252722621,
253,0.2533493936,
252.5,0.2544889152,
252,0.2544640303,
251.5,0.2541370094,
251,0.2546847165,
250.5,0.2553809583,
250,0.2571743131,
249.5,0.2599800229,
249,0.2624836564,
248.5,0.2665833533,
248,0.2704220414,
247.5,0.2752017677,
247,0.2794129848,
246.5,0.2852510214,
246,0.2907412946,
245.5,0.297944963,
245,0.3062018752,
244.5,0.3166721761,
244,0.3280390501,
243.5,0.3424082696,
243,0.3572777212,
242.5,0.3755886257,
242,0.3961262703,
241.5,0.4199225307,
241,0.4466806054,
240.5,0.4778652191,
240,0.5120850205,
239.5,0.5525402427,
239,0.5953930616,
238.5,0.645426929,
238,0.6990237832,
237.5,0.7559455633,
237,0.817645669,
236.5,0.8841052651,
236,0.9515329599,
235.5,1.022858977,
235,1.094537139,
234.5,1.168944716,
234,1.242880583,
233.5,1.318290114,
233,1.394696236,
232.5,1.474194646,
232,1.553053141,
231.5,1.641112208,
231,1.726708293,
230.5,1.818633437,
230,1.909798503,
229.5,2.009789705,
229,2.11076808,
228.5,2.214454889,
228,2.321784258,
227.5,2.431643486,
227,2.534502268,
226.5,2.64757061,
226,2.753072977,
225.5,2.837640762,
225,2.942322731,
224.5,3.019596815,
224,3.084344387,
223.5,3.136555433,
223,3.185936928,
222.5,3.214990616,
222,3.241980314,
221.5,3.262819529,
221,3.269614697,
220.5,3.271126509,
220,3.277459621,

